date,E_Sagebrush,E_Saltdesert,W_Subalpine,W_Montana,W_Pinyon,W_Sagebrush
2019-05-02 16:40:00,4.323,2.658,9.84,2.067,3.992,2.5
2019-05-02 16:50:00,4.469,4.991,8.19,3.68,3.316,3.36
2019-05-02 17:00:00,3.537,4.666,7.283,3.388,3.772,3.451
2019-05-02 17:10:00,5.033,4.608,8.71,2.897,4.242,3.414
2019-05-02 17:20:00,5.038,2.896,7.558,3.053,3.273,4.621
2019-05-02 17:30:00,4.653,5.276,6.805,3.452,4.31,4.941
2019-05-02 17:40:00,4.798,6.703,6.751,4.503,5.208,5.854
2019-05-02 17:50:00,4.964,7.033,6.359,6.332,3.358,6.327
2019-05-02 18:00:00,3.445,8.86,3.859,2.508,7.052,8.61
2019-05-02 18:10:00,5.301,6.163,6.262,4.18,6.124,6.584
2019-05-02 18:20:00,4.368,7.7,5.749,3.507,3.208,7.65
2019-05-02 18:30:00,4.86,6.284,3.216,5.123,7.732,6.49
2019-05-02 18:40:00,2.316,5.49,6.864,4.479,6.376,9.15
2019-05-02 18:50:00,7.1,4.364,5.747,2.452,5.769,8.84
2019-05-02 19:00:00,5.247,7.046,5.943,4.187,3.958,5.367
2019-05-02 19:10:00,5.995,4.805,5.26,2.665,5.439,9.71
2019-05-02 19:20:00,3.933,4.337,5.011,2.744,4.383,3.799
2019-05-02 19:30:00,6.3,2.429,5.261,2.145,3.587,7.945
2019-05-02 19:40:00,5.773,7.688,6.72,2.942,4.667,7.6
2019-05-02 19:50:00,6.888,5.3,5.726,3.429,3.705,6.961
2019-05-02 20:00:00,7.082,5.555,4.995,2.188,4.217,7.627
2019-05-02 20:10:00,5.001,6.634,3.297,3.248,4.896,9.77
2019-05-02 20:20:00,6.364,6.472,5.793,2.276,4.22,7.646
2019-05-02 20:30:00,4.154,2.999,4.664,1.416,5.59,2.861
2019-05-02 20:40:00,6.636,6.206,4.828,2.031,4.819,5.267
2019-05-02 20:50:00,5.097,7.486,4.37,5.05,4.979,6.247
2019-05-02 21:00:00,7.346,3.959,6.498,4.719,7.576,2.329
2019-05-02 21:10:00,8.79,7.656,5.643,2.701,6.065,8.08
2019-05-02 21:20:00,8.21,9.16,5.976,2.775,5.974,10.36
2019-05-02 21:30:00,5.959,7.348,5.297,3.74,4.787,4.836
2019-05-02 21:40:00,6.246,3.327,7.217,4.099,8.0,7.559
2019-05-02 21:50:00,6.282,7.27,5.047,3.844,5.363,7.536
2019-05-02 22:00:00,5.975,7.847,4.544,3.434,3.399,4.431
2019-05-02 22:10:00,7.048,8.02,5.816,3.686,4.036,3.702
2019-05-02 22:20:00,4.782,6.134,6.322,2.341,6.117,5.069
2019-05-02 22:30:00,4.869,4.874,6.535,3.704,7.204,5.028
2019-05-02 22:40:00,4.456,7.135,8.09,2.471,5.562,6.587
2019-05-02 22:50:00,4.795,6.997,6.679,4.246,4.366,3.014
2019-05-02 23:00:00,4.485,7.363,6.615,4.92,5.197,5.541
2019-05-02 23:10:00,2.972,10.64,9.4,2.847,4.844,4.19
2019-05-02 23:20:00,3.992,5.023,7.262,3.532,3.839,7.119
2019-05-02 23:30:00,7.635,3.321,7.899,4.536,4.014,3.531
2019-05-02 23:40:00,7.556,4.985,7.683,4.217,2.905,3.771
2019-05-02 23:50:00,5.798,6.09,6.271,3.697,3.218,4.482
2019-05-03 00:00:00,5.742,4.229,7.614,2.743,5.298,4.869
2019-05-03 00:10:00,5.366,7.812,6.264,4.053,7.504,3.471
2019-05-03 00:20:00,7.716,7.653,7.907,4.529,7.467,3.007
2019-05-03 00:30:00,5.856,9.72,8.18,4.191,4.724,4.069
2019-05-03 00:40:00,3.183,5.859,7.348,3.454,4.157,5.404
2019-05-03 00:50:00,6.079,7.759,7.249,3.178,3.293,5.286
2019-05-03 01:00:00,6.976,7.451,8.29,4.546,2.373,8.28
2019-05-03 01:10:00,7.756,8.28,7.814,1.956,3.488,8.34
2019-05-03 01:20:00,4.862,5.281,7.528,3.592,4.752,8.39
2019-05-03 01:30:00,5.529,5.374,9.37,1.991,5.905,6.608
2019-05-03 01:40:00,5.517,3.898,7.628,3.106,4.773,7.584
2019-05-03 01:50:00,5.203,3.896,8.02,3.034,3.555,5.913
2019-05-03 02:00:00,4.64,4.6,8.45,1.829,4.483,6.562
2019-05-03 02:10:00,6.488,4.71,8.85,1.648,3.907,3.379
2019-05-03 02:20:00,9.02,3.461,8.92,1.586,3.44,2.78
2019-05-03 02:30:00,8.28,1.486,5.75,2.021,3.783,1.713
2019-05-03 02:40:00,9.96,2.397,5.717,1.402,4.07,1.724
2019-05-03 02:50:00,8.59,4.605,5.11,3.659,4.451,3.209
